city,cloudiness,lat,long,country,date,humidity,max_temp,wind_speed
sao miguel do araguaia,43.0,-13.28,-50.16,BR,1586742798.0,84.0,73.06,1.77
lengshuijiang,6.0,27.69,111.43,CN,1586742798.0,31.0,68.97,2.15
naze,75.0,28.37,129.48,JP,1586742778.0,66.0,62.6,23.04
luwuk,33.0,-0.95,122.79,ID,1586742799.0,56.0,87.98,1.36
guerrero negro,0.0,27.98,-114.06,MX,1586742799.0,75.0,59.76,17.83
kaniama,100.0,-7.57,24.18,CD,1586742799.0,74.0,67.5,1.63
general pico,100.0,-35.66,-63.76,AR,1586742799.0,92.0,54.9,7.0
rodrigues alves,100.0,-7.74,-72.65,BR,1586742799.0,93.0,70.47,1.05
san rafael,100.0,-34.62,-68.33,AR,1586742799.0,65.0,58.44,8.52
cam ranh,40.0,11.92,109.16,VN,1586742799.0,74.0,86.0,8.05
kasongo,100.0,-4.45,26.67,CD,1586742800.0,84.0,68.97,3.6
mae hong son,20.0,19.3,97.97,TH,1586742800.0,53.0,77.0,3.58
samarai,13.0,-10.62,150.67,PG,1586742441.0,66.0,83.3,10.04
adrar,73.0,20.5,-10.07,MR,1586742800.0,19.0,75.94,13.31
mandal,1.0,25.45,74.57,IN,1586742800.0,17.0,90.41,7.92
san jeronimo,99.0,-11.95,-75.28,PE,1586742800.0,29.0,50.74,2.08
nantucket,75.0,41.28,-70.1,US,1586742800.0,87.0,51.8,17.22
havre-saint-pierre,90.0,50.23,-63.6,CA,1586742800.0,98.0,32.0,8.05
talcahuano,0.0,-36.72,-73.12,CL,1586742801.0,66.0,51.8,5.82
obo,96.0,5.4,26.49,CF,1586742801.0,78.0,69.57,3.31
cukai,40.0,4.25,103.42,MY,1586742801.0,89.0,84.2,2.24
cervo,97.0,43.67,-7.41,ES,1586742801.0,1.0,48.0,5.68
mitu,85.0,1.2,-70.17,CO,1586742801.0,91.0,72.46,1.61
robertsport,88.0,6.75,-11.37,LR,1586742801.0,84.0,80.53,5.23
evensk,72.0,61.95,159.23,RU,1586742801.0,87.0,18.16,1.43
talakan,0.0,50.32,130.37,RU,1586742802.0,33.0,58.84,6.8
cidreira,0.0,-30.18,-50.21,BR,1586742802.0,80.0,66.4,15.12
ilulissat,100.0,69.22,-51.1,GL,1586742802.0,80.0,35.6,4.7
orotukan,100.0,62.27,151.7,RU,1586742802.0,89.0,23.81,3.74
ventspils,100.0,57.39,21.56,LV,1586742802.0,87.0,44.6,14.99
vila velha,90.0,-20.33,-40.29,BR,1586742787.0,69.0,75.2,10.29
contamana,73.0,-7.33,-75.02,PE,1586742802.0,86.0,73.94,1.54
sanary-sur-mer,96.0,43.12,5.8,FR,1586742803.0,76.0,57.99,3.36
oriximina,100.0,-1.77,-55.87,BR,1586742803.0,92.0,76.05,1.43
barcelos,40.0,41.54,-8.62,PT,1586742519.0,93.0,54.0,6.93
staraya stanitsa,0.0,48.35,40.28,RU,1586742803.0,73.0,37.04,8.05
mareeba,75.0,-17.0,145.43,AU,1586742803.0,52.0,88.0,9.17
tuatapere,97.0,-46.13,167.68,NZ,1586742390.0,89.0,44.01,11.01
perth,20.0,-31.93,115.83,AU,1586742701.0,64.0,75.99,3.36
kavaratti,79.0,10.57,72.64,IN,1586742803.0,70.0,85.17,7.05
kudahuvadhoo,99.0,2.67,72.89,MV,1586742803.0,67.0,83.57,2.53
serenje,22.0,-13.23,30.24,ZM,1586742804.0,64.0,58.32,3.29
chuy,5.0,-33.7,-53.46,UY,1586742804.0,84.0,62.78,9.73
korsakov,0.0,46.63,142.78,RU,1586742804.0,48.0,44.6,6.71
iralaya,51.0,15.0,-83.23,HN,1586742804.0,85.0,79.36,11.77
puerto escondido,75.0,15.85,-97.07,MX,1586742804.0,83.0,78.8,2.24
turukhansk,100.0,65.82,87.98,RU,1586742804.0,95.0,34.81,12.8
kijang,100.0,35.24,129.21,KR,1586742804.0,52.0,46.4,11.41
lata,75.0,40.16,-8.33,PT,1586742805.0,87.0,57.2,10.29
villa carlos paz,75.0,-31.42,-64.5,AR,1586742639.0,82.0,68.0,1.12
oda,75.0,35.18,132.5,JP,1586742805.0,87.0,44.6,29.97
karangasem,20.0,-8.45,115.62,ID,1586742805.0,79.0,84.2,3.36
yaan,87.0,7.38,8.57,NG,1586742805.0,54.0,80.85,6.85
cairo,0.0,30.06,31.25,EG,1586742076.0,77.0,60.8,8.05
antigonish,20.0,45.62,-62.0,CA,1586742733.0,48.0,39.99,6.93
lac du bonnet,34.0,50.25,-96.06,CA,1586742805.0,56.0,27.0,3.0
ambovombe,0.0,-25.17,46.08,MG,1586742805.0,78.0,71.92,6.51
ibra,89.0,22.69,58.53,OM,1586742806.0,46.0,75.61,2.84
kautokeino,100.0,69.01,23.04,NO,1586742806.0,94.0,22.55,25.77
menongue,37.0,-14.66,17.69,AO,1586742806.0,63.0,60.73,1.57
palma di montechiaro,14.0,37.19,13.77,IT,1586742806.0,64.0,52.97,7.45
tsimlyansk,3.0,47.65,42.1,RU,1586742806.0,78.0,35.06,9.17
severo-kurilsk,95.0,50.68,156.12,RU,1586742806.0,93.0,30.72,10.02
santa cruz cabralia,90.0,-16.28,-39.02,BR,1586742806.0,88.0,75.2,3.36
manado,20.0,1.49,124.85,ID,1586742259.0,70.0,84.2,5.82
tsabong,3.0,-26.02,22.4,BW,1586742807.0,19.0,68.68,12.06
antropovo,0.0,58.4,43.01,RU,1586742807.0,88.0,28.06,4.14
bharatpur,1.0,27.22,77.48,IN,1586742807.0,20.0,92.08,5.61
ponta delgada,75.0,37.73,-25.67,PT,1586742807.0,72.0,60.8,10.29
irbeyskoye,0.0,55.64,95.45,RU,1586742807.0,46.0,46.87,16.06
isangel,75.0,-19.55,169.27,VU,1586742507.0,65.0,82.4,5.66
the pas,40.0,53.83,-101.25,CA,1586742807.0,66.0,14.0,10.29
ternate,3.0,0.8,127.4,ID,1586742808.0,64.0,85.39,5.26
dergachi,100.0,51.23,48.77,RU,1586742808.0,90.0,33.08,18.61
la paz,0.0,-16.5,-68.15,BO,1586742732.0,38.0,42.8,4.7
krasnoselkup,100.0,65.7,82.47,RU,1586742808.0,99.0,35.08,7.96
margate,78.0,51.38,1.39,GB,1586742808.0,76.0,50.0,16.11
mamlyutka,0.0,54.94,68.54,KZ,1586742808.0,72.0,44.82,8.61
maragogi,28.0,-9.01,-35.22,BR,1586742808.0,82.0,78.46,7.23
bandarbeyla,14.0,9.49,50.81,SO,1586742808.0,69.0,80.13,4.34
rio gallegos,54.0,-51.62,-69.22,AR,1586742808.0,71.0,50.0,14.99
vila,75.0,42.03,-8.16,PT,1586742809.0,93.0,53.01,3.36
kankan,91.0,10.39,-9.31,GN,1586742809.0,54.0,81.73,4.5
salalah,40.0,17.02,54.09,OM,1586742538.0,74.0,80.6,8.05
qunduz,64.0,36.73,68.86,AF,1586742809.0,68.0,64.27,7.67
cayenne,90.0,4.93,-52.33,GF,1586742809.0,78.0,78.8,1.12
ulaangom,100.0,49.98,92.07,MN,1586742809.0,69.0,31.71,1.66
mestia,47.0,43.05,42.73,GE,1586742809.0,53.0,20.32,1.59
araouane,66.0,18.9,-3.53,ML,1586742810.0,25.0,86.54,0.96
poso,3.0,-1.4,120.75,ID,1586742810.0,44.0,90.0,3.0
praia da vitoria,75.0,38.73,-27.07,PT,1586742810.0,77.0,60.8,12.97
fortuna,1.0,40.6,-124.16,US,1586742810.0,71.0,57.0,11.41
ciudad del maiz,86.0,22.4,-99.6,MX,1586742810.0,1.0,88.0,1.99
hambantota,55.0,6.12,81.12,LK,1586742810.0,77.0,82.45,7.02
maceio,75.0,-9.67,-35.74,BR,1586742810.0,82.0,78.67,8.68
semikarakorsk,0.0,47.52,40.81,RU,1586742811.0,37.0,35.6,4.47
beloha,0.0,-25.17,45.05,MG,1586742811.0,67.0,72.19,6.06
torbay,20.0,47.67,-52.73,CA,1586742811.0,93.0,36.0,10.29
strezhevoy,88.0,60.73,77.59,RU,1586742811.0,64.0,37.4,6.71
penzance,73.0,50.12,-5.54,GB,1586742811.0,81.0,52.0,16.11
brownsville,1.0,25.9,-97.5,US,1586742619.0,39.0,87.8,9.17
alexandria,2.0,31.22,29.96,EG,1586742811.0,66.0,56.75,1.77
katsuura,90.0,35.13,140.3,JP,1586742812.0,100.0,55.4,14.99
pangkalanbuun,93.0,-2.68,111.62,ID,1586742812.0,79.0,84.65,3.51
bela,0.0,25.93,81.98,IN,1586742812.0,14.0,91.9,6.11
byron bay,0.0,-28.65,153.62,AU,1586742520.0,53.0,75.2,6.93
russell,75.0,32.35,-85.2,US,1586742812.0,65.0,80.6,18.34
meulaboh,20.0,4.14,96.13,ID,1586742812.0,67.0,86.0,2.3
rio verde de mato grosso,0.0,-18.92,-54.84,BR,1586742812.0,72.0,73.02,3.87
iqaluit,90.0,63.75,-68.51,CA,1586742667.0,78.0,17.6,19.46
eyl,60.0,7.98,49.82,SO,1586742812.0,73.0,81.86,9.4
bureya,0.0,49.81,129.81,RU,1586742813.0,31.0,61.23,7.72
dongsheng,82.0,39.82,109.98,CN,1586742813.0,17.0,54.79,10.09
orlik,93.0,52.52,99.83,RU,1586742813.0,51.0,31.26,2.62
hokitika,100.0,-42.72,170.97,NZ,1586742813.0,68.0,50.61,24.36
san pedro,40.0,14.35,121.02,PH,1586742813.0,62.0,89.01,4.7
abu dhabi,91.0,24.47,54.37,AE,1586742813.0,28.0,86.0,4.7
pochutla,75.0,15.74,-96.47,MX,1586742813.0,83.0,80.01,6.35
babu,62.0,24.42,111.52,CN,1586742813.0,42.0,67.62,1.57
nanchang,0.0,28.68,115.88,CN,1586742814.0,42.0,65.46,5.7
hofn,88.0,64.25,-15.21,IS,1586742814.0,78.0,37.35,17.69
kabinda,100.0,-6.13,24.48,CD,1586742814.0,78.0,67.86,5.35
newport,90.0,51.59,-3.0,GB,1586742599.0,76.0,51.8,24.16
willowmore,0.0,-33.29,23.49,ZA,1586742814.0,67.0,48.7,4.07
elesbao veloso,100.0,-6.2,-42.14,BR,1586742814.0,91.0,73.33,5.88
biak,40.0,-0.91,122.88,ID,1586742814.0,63.0,84.07,1.32
deming,1.0,32.27,-107.76,US,1586742814.0,34.0,64.4,21.92
vertientes,0.0,21.26,-78.15,CU,1586742815.0,80.0,75.69,9.6
noumea,20.0,-22.28,166.46,NC,1586742815.0,66.0,84.2,11.41
bonfim,32.0,3.08,-59.95,BR,1586742815.0,57.0,82.09,9.53
nampula,14.0,-15.12,39.27,MZ,1586742815.0,88.0,65.48,1.25
mirabad,28.0,30.44,61.84,AF,1586742815.0,37.0,74.82,4.92
mogadishu,98.0,2.04,45.34,SO,1586742762.0,74.0,82.98,9.08
independencia,100.0,-5.4,-40.31,BR,1586742815.0,87.0,72.23,1.39
marystown,0.0,47.17,-55.15,CA,1586742544.0,94.0,32.0,11.72
king city,90.0,36.21,-121.13,US,1586742816.0,93.0,54.0,9.17
tibati,52.0,6.47,12.63,CM,1586742816.0,56.0,68.41,3.04
bengkulu,36.0,-3.8,102.27,ID,1586742816.0,58.0,87.44,1.28
lagos,20.0,6.58,3.75,NG,1586742816.0,88.0,82.4,7.72
sosua,13.0,19.77,-70.52,DO,1586742816.0,88.0,79.0,12.37
rumoi,8.0,43.93,141.64,JP,1586742817.0,63.0,42.44,9.1
loreto,50.0,22.27,-101.97,MX,1586742817.0,11.0,66.02,11.63
luganville,20.0,-15.53,167.17,VU,1586742817.0,70.0,86.0,5.82
sakakah,2.0,29.97,40.21,SA,1586742817.0,25.0,60.8,4.7
mokhsogollokh,1.0,61.47,128.92,RU,1586742817.0,70.0,36.79,9.33
guasdualito,43.0,7.24,-70.73,VE,1586742817.0,50.0,80.73,1.25
santa marta,2.0,11.24,-74.2,CO,1586742818.0,84.0,82.0,18.37
hay river,40.0,60.82,-115.8,CA,1586742818.0,61.0,14.0,10.29
santarem,40.0,-2.44,-54.71,BR,1586742818.0,94.0,78.8,3.36
crib point,71.0,-38.35,145.2,AU,1586742818.0,72.0,64.0,5.66
tynda,0.0,55.17,124.72,RU,1586742818.0,58.0,36.97,11.03
nizhniy baskunchak,0.0,48.22,46.83,RU,1586742818.0,76.0,36.3,17.76
ayan,16.0,56.45,138.17,RU,1586742818.0,74.0,37.15,9.35
champaign,90.0,40.13,-88.2,US,1586742818.0,87.0,57.2,6.93
elko,1.0,41.0,-115.5,US,1586742818.0,13.0,50.0,16.11
nizhniy kuranakh,100.0,58.84,125.49,RU,1586742819.0,70.0,35.73,10.51
sao gabriel da cachoeira,12.0,-0.13,-67.09,BR,1586742819.0,95.0,73.81,1.7
isabela,40.0,6.71,121.97,PH,1586742819.0,70.0,84.2,4.7
marquette,90.0,46.53,-87.63,US,1586742819.0,100.0,32.0,18.34
aksarka,100.0,66.56,67.8,RU,1586742819.0,97.0,20.53,10.83
kapit,85.0,2.02,112.93,MY,1586742819.0,56.0,90.75,1.88
ust-nera,94.0,64.57,143.2,RU,1586742819.0,79.0,29.34,3.36
shepetivka,0.0,50.19,27.06,UA,1586742820.0,68.0,42.39,9.08
saint-augustin,0.0,51.23,-58.65,CA,1586742820.0,95.0,26.76,9.8
krivosheino,76.0,57.34,83.93,RU,1586742820.0,75.0,39.07,7.0
broken hill,0.0,-31.95,141.43,AU,1586742820.0,36.0,64.4,5.82
dakar,2.0,14.69,-17.44,SN,1586742816.0,94.0,71.6,4.7
dogondoutchi,22.0,13.64,4.03,NE,1586742820.0,13.0,83.52,11.81
talnakh,100.0,69.49,88.4,RU,1586742821.0,62.0,21.2,4.47
rawson,34.0,-43.3,-65.1,AR,1586742821.0,44.0,57.45,9.98
port keats,53.0,-14.25,129.55,AU,1586742821.0,60.0,87.87,3.38
natal,20.0,-5.79,-35.21,BR,1586742821.0,78.0,82.4,5.82
octeville,18.0,49.63,-1.64,FR,1586742821.0,71.0,57.2,8.05
lanxi,0.0,29.22,119.48,CN,1586742821.0,37.0,62.6,5.14
pidvynohradiv,100.0,48.14,22.97,UA,1586742821.0,74.0,46.99,4.7
flinders,99.0,-34.58,150.86,AU,1586742821.0,45.0,69.01,7.43
senador jose porfirio,99.0,-2.59,-51.95,BR,1586742822.0,95.0,73.96,0.85
athabasca,81.0,54.72,-113.29,CA,1586742521.0,87.0,16.18,4.21
ilhabela,63.0,-23.78,-45.36,BR,1586742822.0,70.0,71.8,6.51
salinopolis,100.0,-0.61,-47.36,BR,1586742822.0,84.0,80.55,12.48
karmaskaly,14.0,54.37,56.18,RU,1586742822.0,100.0,30.2,2.24
kaitangata,80.0,-46.28,169.85,NZ,1586742822.0,73.0,46.56,18.05
san quintin,5.0,30.48,-115.95,MX,1586742822.0,78.0,59.27,11.25
asau,3.0,46.43,26.4,RO,1586742823.0,56.0,44.01,11.41
bintulu,75.0,3.17,113.03,MY,1586742823.0,83.0,84.2,3.36
pontianak,20.0,-0.03,109.33,ID,1586742540.0,88.0,80.6,3.36
bullhead city,90.0,35.15,-114.57,US,1586742600.0,82.0,77.0,25.28
zhicheng,100.0,30.3,111.5,CN,1586742823.0,39.0,69.17,1.48
pak thong chai,40.0,14.72,102.03,TH,1586742823.0,88.0,82.0,9.17
flin flon,97.0,54.77,-101.86,CA,1586742823.0,92.0,7.93,5.79
sisimiut,90.0,66.94,-53.67,GL,1586742823.0,95.0,31.66,8.12
sitka,90.0,57.05,-135.33,US,1586742823.0,65.0,48.2,6.93
magaria,53.0,13.0,8.91,NE,1586742824.0,16.0,76.68,7.9
itaituba,100.0,-4.28,-55.98,BR,1586742824.0,95.0,75.18,2.26
newton,100.0,42.34,-71.21,US,1586742787.0,76.0,52.0,18.34
sao felipe,100.0,-14.82,-41.38,BR,1586742824.0,78.0,71.8,6.15
ghanzi,37.0,-21.57,21.78,BW,1586742824.0,32.0,70.92,4.7
balabac,82.0,7.99,117.06,PH,1586742824.0,62.0,86.77,10.22
havoysund,90.0,71.0,24.66,NO,1586742824.0,86.0,28.4,17.22
davila,75.0,18.47,120.58,PH,1586742825.0,61.0,82.4,10.29
matay,0.0,28.42,30.78,EG,1586742825.0,47.0,60.12,8.93
quang ngai,100.0,15.12,108.8,VN,1586742825.0,86.0,73.98,12.44
half moon bay,90.0,37.46,-122.43,US,1586742673.0,87.0,64.99,6.93
qaqortoq,93.0,60.72,-46.03,GL,1586742825.0,69.0,37.4,5.82
tashigang,0.0,27.33,91.55,BT,1586742825.0,18.0,77.32,2.91
novonikolayevskiy,6.0,50.97,42.36,RU,1586742825.0,72.0,30.0,6.55
pitimbu,20.0,-7.47,-34.81,BR,1586742825.0,88.0,78.8,4.7
zalantun,8.0,48.0,122.72,CN,1586742826.0,17.0,69.1,7.85
kendari,17.0,-3.94,122.5,ID,1586742826.0,77.0,84.25,3.67
eureka,1.0,40.8,-124.16,US,1586742826.0,66.0,57.0,16.11
najran,65.0,17.49,44.13,SA,1586742826.0,53.0,75.2,1.97
fort nelson,20.0,58.81,-122.7,CA,1586742826.0,22.0,46.4,3.36
bambous virieux,40.0,-20.34,57.76,MU,1586742826.0,83.0,77.0,12.75
khani,0.0,41.96,42.96,GE,1586742826.0,100.0,35.6,5.82
jining,0.0,35.41,116.58,CN,1586742826.0,30.0,66.11,7.4
hvide sande,0.0,56.0,8.13,DK,1586742827.0,64.0,39.99,24.16
sibolga,62.0,1.74,98.78,ID,1586742827.0,57.0,88.77,1.72
soe,74.0,-9.86,124.28,ID,1586742827.0,68.0,76.41,3.11
midland,1.0,32.0,-102.08,US,1586742640.0,31.0,62.6,18.34
ovre ardal,98.0,61.32,7.8,NO,1586742827.0,85.0,16.9,5.06
poum,65.0,-20.23,164.02,NC,1586742827.0,75.0,79.39,10.6
kirksville,90.0,40.19,-92.58,US,1586742827.0,79.0,37.4,14.99
plettenberg bay,6.0,-34.05,23.37,ZA,1586742828.0,73.0,57.51,4.05
pyapon,2.0,16.28,95.68,MM,1586742828.0,39.0,90.59,7.23
alofi,11.0,-19.06,-169.92,NU,1586742828.0,70.0,84.2,13.87
yushan,0.0,31.38,120.95,CN,1586742819.0,51.0,62.01,13.42
puerto colombia,0.0,10.99,-74.95,CO,1586742828.0,78.0,82.4,14.99
pecos,1.0,31.42,-103.49,US,1586742828.0,19.0,77.0,14.99
puerto leguizamo,97.0,-0.19,-74.78,CO,1586742828.0,91.0,72.12,1.34
mikkeli,90.0,61.69,27.27,FI,1586742828.0,100.0,41.0,6.93
teeli,57.0,51.03,90.23,RU,1586742829.0,40.0,44.22,1.97
champerico,85.0,14.3,-91.92,GT,1586742829.0,73.0,83.37,5.06
rosarito,90.0,32.33,-117.03,MX,1586742829.0,77.0,62.6,6.93
bend,1.0,44.06,-121.32,US,1586742725.0,17.0,55.4,5.82
