city,cloudiness,lat,long,country,date,humidity,max_temp,wind_speed
airai,65.0,-8.93,125.41,TL,1586742762.0,67.0,70.47,1.7
jamestown,40.0,42.1,-79.24,US,1586742762.0,41.0,59.0,9.17
oktyabrskoye,64.0,43.06,44.74,RU,1586742762.0,68.0,32.11,4.65
comodoro rivadavia,0.0,-45.87,-67.5,AR,1586742515.0,50.0,57.2,11.41
oussouye,75.0,12.48,-16.55,SN,1586742762.0,94.0,73.4,6.93
venice,1.0,27.1,-82.45,US,1586742596.0,83.0,84.2,17.22
laguna,1.0,38.42,-121.42,US,1586742539.0,60.0,73.4,10.29
nhulunbuy,75.0,-12.23,136.77,AU,1586742763.0,66.0,87.8,11.41
banatsko novo selo,68.0,44.99,20.78,RS,1586742763.0,70.0,60.8,1.12
hobart,75.0,-42.88,147.33,AU,1586742763.0,58.0,63.0,4.7
barpeta,40.0,26.32,91.0,IN,1586742763.0,78.0,73.4,7.14
west bay,0.0,19.37,-81.42,KY,1586742763.0,78.0,82.99,1.01
bilibino,15.0,68.05,166.44,RU,1586742763.0,87.0,16.9,2.77
atuona,61.0,-9.8,-139.03,PF,1586742474.0,68.0,82.42,1.1
marawi,4.0,8.0,124.29,PH,1586742764.0,38.0,84.83,4.92
steinbach,22.0,50.17,8.57,DE,1586742764.0,81.0,53.01,4.7
codrington,0.0,-38.27,141.97,AU,1586742764.0,53.0,61.07,4.85
arkhara,0.0,49.42,130.08,RU,1586742764.0,30.0,61.21,7.52
bukoba,97.0,-1.33,31.81,TZ,1586742764.0,59.0,69.91,7.78
jamame,100.0,0.07,42.75,SO,1586742764.0,82.0,81.7,7.92
esperance,3.0,-33.87,121.9,AU,1586742259.0,68.0,71.6,9.17
huarmey,99.0,-10.07,-78.15,PE,1586742765.0,77.0,73.42,7.05
kruisfontein,0.0,-34.0,24.73,ZA,1586742194.0,79.0,52.11,3.36
nanortalik,96.0,60.14,-45.24,GL,1586742765.0,97.0,32.36,10.11
deputatskiy,100.0,69.3,139.9,RU,1586742765.0,88.0,13.66,4.85
cherskiy,96.0,68.75,161.3,RU,1586742765.0,95.0,14.45,8.79
nome,90.0,64.5,-165.41,US,1586742765.0,86.0,33.8,9.17
galesong,20.0,-5.32,119.37,ID,1586742765.0,88.0,80.6,5.82
tezu,83.0,27.92,96.17,IN,1586742766.0,22.0,88.0,2.82
saint-pierre,100.0,-21.34,55.48,RE,1586742766.0,78.0,75.2,6.93
tiarei,95.0,-17.53,-149.33,PF,1586742766.0,66.0,87.8,8.05
